ticker,exchange,assetType,priceCurrency,startDate,endDate
1,SHE,Stock,CNY,2007-08-30,2018-05-11
2,SHE,Stock,CNY,2000-01-04,2018-05-11
4,SHE,Stock,CNY,2007-08-31,2018-05-11
5,SHE,Stock,CNY,2001-01-02,2018-05-11
6,SHE,Stock,CNY,2007-08-31,2018-05-11
7,SHE,Stock,CNY,2007-08-31,2018-05-11
8,SHE,Stock,CNY,2000-01-03,2018-05-11
9,SHE,Stock,CNY,2000-01-03,2018-05-11
10,SHE,Stock,CNY,2007-08-31,2018-05-11
11,SHE,Stock,CNY,2018-01-02,2018-05-11
12,SHE,Stock,CNY,2000-01-03,2018-05-11
14,SHE,Stock,CNY,2018-01-02,2018-05-11
15,SHE,Stock,CNY,,
16,SHE,Stock,CNY,2018-01-02,2018-05-11
17,SHE,Stock,CNY,2018-01-02,2018-05-11
18,SHE,Stock,CNY,2007-08-31,2018-05-11
19,SHE,Stock,CNY,2007-10-12,2018-05-11
20,SHE,Stock,CNY,2007-08-31,2018-05-11
21,SHE,Stock,CNY,2000-01-03,2018-05-11
22,SHE,Stock,CNY,2007-08-31,2018-04-24
23,SHE,Stock,CNY,2018-01-02,2018-05-11
24,SHE,Stock,CNY,2007-01-04,2015-12-07
25,SHE,Stock,CNY,2007-08-31,2018-05-11
26,SHE,Stock,CNY,2018-01-02,2018-05-11
27,SHE,Stock,CNY,2000-01-03,2018-05-11
28,SHE,Stock,CNY,2018-01-02,2018-05-11
29,SHE,Stock,CNY,2016-09-13,2018-04-24
30,SHE,Stock,CNY,2000-01-03,2018-05-11
31,SHE,Stock,CNY,2007-08-31,2018-05-11
32,SHE,Stock,CNY,2018-01-02,2018-05-11
33,SHE,Stock,CNY,2007-08-31,2017-07-06
34,SHE,Stock,CNY,2017-09-28,2017-09-28
35,SHE,Stock,CNY,2007-09-28,2017-08-21
36,SHE,Stock,CNY,2000-01-03,2018-05-11
37,SHE,Stock,CNY,2000-01-03,2018-05-11
38,SHE,Stock,CNY,2013-02-08,2018-02-23
39,SHE,Stock,CNY,2018-01-02,2018-05-11
40,SHE,Stock,CNY,2018-01-02,2018-05-11
42,SHE,Stock,CNY,2000-01-03,2018-05-11
43,SHE,Stock,CNY,2000-01-03,2018-05-11
45,SHE,Stock,CNY,2000-01-03,2018-05-11
46,SHE,Stock,CNY,2007-08-31,2018-05-11
48,SHE,Stock,CNY,2000-01-04,2018-04-27
49,SHE,Stock,CNY,2018-01-02,2018-05-11
50,SHE,Stock,CNY,2000-01-03,2018-05-11
55,SHE,Stock,CNY,2000-01-03,2018-05-11
56,SHE,Stock,CNY,2017-10-31,2018-05-11
58,SHE,Stock,CNY,2000-01-03,2018-05-11
59,SHE,Stock,CNY,2000-01-03,2018-05-11
60,SHE,Stock,CNY,2018-01-02,2018-05-11
61,SHE,Stock,CNY,2000-01-11,2018-05-11
62,SHE,Stock,CNY,2000-01-03,2018-05-11
63,SHE,Stock,CNY,2018-01-02,2018-04-16
65,SHE,Stock,CNY,2018-01-02,2018-05-11
66,SHE,Stock,CNY,2000-01-03,2018-05-11
68,SHE,Stock,CNY,2007-08-30,2018-05-11
69,SHE,Stock,CNY,2018-01-02,2018-05-11
70,SHE,Stock,CNY,2018-01-02,2018-05-11
78,SHE,Stock,CNY,2000-01-03,2018-05-11
88,SHE,Stock,CNY,2000-01-03,2018-05-11
89,SHE,Stock,CNY,2000-01-03,2018-05-11
90,SHE,Stock,CNY,2018-01-02,2018-05-11
96,SHE,Stock,CNY,2018-01-02,2018-05-11
99,SHE,Stock,CNY,2018-01-02,2018-05-11
100,SHE,Stock,CNY,2004-02-02,2018-05-11
150,SHE,Stock,CNY,2000-08-08,2018-05-11
151,SHE,Stock,CNY,2018-01-02,2018-05-11
153,SHE,Stock,CNY,2018-01-02,2018-05-11
155,SHE,Stock,CNY,2018-01-02,2018-05-11
156,SHE,Stock,CNY,2012-10-19,2018-04-24
157,SHE,Stock,CNY,2018-01-02,2018-05-11
158,SHE,Stock,CNY,2018-01-02,2018-05-11
159,SHE,Stock,CNY,2000-09-25,2018-05-11
166,SHE,Stock,CNY,2018-01-02,2018-05-11
301,SHE,Stock,CNY,2018-01-02,2018-05-11
333,SHE,Stock,CNY,2000-01-03,2018-05-11
338,SHE,Stock,CNY,2018-01-02,2018-05-11
400,SHE,Stock,CNY,2018-01-02,2018-05-11
401,SHE,Stock,CNY,2018-01-16,2018-05-11
402,SHE,Stock,CNY,2000-01-03,2018-05-11
403,SHE,Stock,CNY,2013-02-08,2018-05-11
404,SHE,Stock,CNY,2018-01-02,2018-05-11
407,SHE,Stock,CNY,2000-01-04,2018-05-11
408,SHE,Stock,CNY,2018-01-02,2018-05-11
409,SHE,Stock,CNY,2018-01-02,2018-04-27
410,SHE,Stock,CNY,2000-01-03,2018-05-11
411,SHE,Stock,CNY,2018-01-02,2018-05-11
413,SHE,Stock,CNY,2000-01-03,2018-05-11
415,SHE,Stock,CNY,2007-08-30,2018-01-16
416,SHE,Stock,CNY,2000-01-03,2018-05-11
417,SHE,Stock,CNY,2018-01-02,2018-05-11
418,SHE,Stock,CNY,2000-01-03,2018-05-11
419,SHE,Stock,CNY,2000-01-03,2018-05-11
420,SHE,Stock,CNY,2000-01-03,2018-05-11
421,SHE,Stock,CNY,2000-01-03,2018-05-11
422,SHE,Stock,CNY,2018-01-02,2018-05-04
423,SHE,Stock,CNY,2000-01-03,2018-05-11
425,SHE,Stock,CNY,2000-01-03,2018-05-11
426,SHE,Stock,CNY,2000-01-03,2018-05-11
428,SHE,Stock,CNY,2000-01-03,2018-05-11
429,SHE,Stock,CNY,2000-01-03,2018-05-11
430,SHE,Stock,CNY,2018-01-02,2018-05-11
488,SHE,Stock,CNY,2000-11-20,2018-05-11
498,SHE,Stock,CNY,2018-01-02,2018-05-11
501,SHE,Stock,CNY,2000-01-03,2018-05-11
502,SHE,Stock,CNY,2007-08-30,2018-05-11
503,SHE,Stock,CNY,2018-01-02,2018-05-11
504,SHE,Stock,CNY,2007-08-30,2018-05-11
505,SHE,Stock,CNY,2007-08-30,2018-05-11
506,SHE,Stock,CNY,2018-01-02,2018-02-27
507,SHE,Stock,CNY,2018-01-02,2018-05-11
509,SHE,Stock,CNY,2017-07-17,2018-05-11
510,SHE,Stock,CNY,2000-01-04,2018-05-11
511,SHE,Stock,CNY,2017-04-28,2018-04-24
513,SHE,Stock,CNY,2000-01-03,2018-05-11
514,SHE,Stock,CNY,2018-01-02,2018-05-11
515,SHE,Stock,CNY,2007-01-04,2009-04-23
516,SHE,Stock,CNY,2000-02-02,2018-05-11
517,SHE,Stock,CNY,2000-01-03,2018-05-11
518,SHE,Stock,CNY,2007-08-30,2018-05-11
519,SHE,Stock,CNY,2018-01-02,2018-05-11
520,SHE,Stock,CNY,2000-01-03,2018-05-11
521,SHE,Stock,CNY,2018-01-02,2018-05-11
522,SHE,Stock,CNY,2007-01-04,2013-03-13
523,SHE,Stock,CNY,2018-01-02,2018-04-12
524,SHE,Stock,CNY,2018-01-02,2018-05-11
525,SHE,Stock,CNY,2018-01-02,2018-05-11
526,SHE,Stock,CNY,2007-08-30,2018-03-21
527,SHE,Stock,CNY,2007-01-04,2013-08-14
528,SHE,Stock,CNY,2000-01-03,2018-05-11
529,SHE,Stock,CNY,2018-01-02,2018-05-11
